CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0915-46,16-031,ALTA VERAPAZ,COBAN,instituto privado mixto santo domingo,2a calle 11-10 zona 2,79529830,Mercedes Josefina Torres Galvez,America Nuila Luther,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0917-46,16-031,ALTA VERAPAZ,COBAN,instituto privado mixto monja blanca,diagonal 3 14-11 zona 2,79513896,Mercedes Josefina Torres Galvez,Edwin Armando Catun Caal,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0918-46,16-031,ALTA VERAPAZ,COBAN,liceo preuniversitario del norte,3a avenida 8-32 zona 10,79417346,Mercedes Josefina Torres Galvez,Zoila Imena Lopez Rodas,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0919-46,16-031,ALTA VERAPAZ,COBAN,liceo mixto particular san benito,9a avenida 4-55 zona 4,37058145,Mercedes Josefina Torres Galvez,Henri Marco Artola Teyul,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0922-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,3a avenida 5-28 zona 4,33857209,Mercedes Josefina Torres Galvez,Silvia Yolanda Caal Quim,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0926-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificado,2a calle 1-99 zona 4 coban,45282976,Rudy Adolfo Tot Och,Esther Guadalupe Pineda Ochaeta,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0927-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificado,2a calle 1-99 zona 4,45282976,Rudy Adolfo Tot Och,Esther Guadalupe Pineda Ochaeta,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0982-46,16-050,ALTA VERAPAZ,COBAN,centro de edcacion extraescolar ceex ,8a avenida 02-43 zona 1,45423234,Maximiliano Chub Ical,Lidia Dolores Yat Xol,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0986-46,16-031,ALTA VERAPAZ,COBAN,colegio mixto la excelencia,2a calle 8-18 zona 4 coban,41114848,Mercedes Josefina Torres Galvez,Zuly Beatriz Lopez Winter,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0987-46,16-031,ALTA VERAPAZ,COBAN,colegio mixto la excelencia,2a calle 8-18 zona 4 coban,41114848,Mercedes Josefina Torres Galvez,Zuly Beatriz Lopez Winter,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0990-46,16-031,ALTA VERAPAZ,COBAN,liceo mixto particular san benito,9a avenida 4-55 zona 4,37058145,Mercedes Josefina Torres Galvez,Henri Marco Artola Teyul,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ALTA VERAPAZ
16-01-0991-46,16-031,ALTA VERAPAZ,COBAN,liceo mixto particular san benito,9a avenida 4-55 zona 4,37058145,Mercedes Josefina Torres Galvez,Henri Marco Artola Teyul,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0994-46,16-050,ALTA VERAPAZ,COBAN,centro de edcacion extraescolar ceex ,barrio chivencorral zona 12,49972934,Maximiliano Chub Ical,Henrry Alexander De Los Santos Mutz,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-1172-46,16-006,ALTA VERAPAZ,COBAN,colegio particular mixto carlos v,6a calle 2-06 zona 8 periferico sur coban,,Efrain Caal Cuc,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,ALTA VERAPAZ
16-01-1173-46,16-006,ALTA VERAPAZ,COBAN,colegio particular mixto carlos v,6a calle 2-06 zona 8 periferico sur coban,,Efrain Caal Cuc, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-1174-46,16-031,ALTA VERAPAZ,COBAN,instituto privado raul chenal heinemann,5ta calle 1-06 zona 3,79510413,Mercedes Josefina Torres Galvez,Silvia Beatriz Soto Chen,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-1175-46,16-031,ALTA VERAPAZ,COBAN,instituto privado raul chenal heinemann,5ta calle 1-06 zona 3,79520414,Mercedes Josefina Torres Galvez,Silvia Beatriz Soto Chen,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-1176-46,16-031,ALTA VERAPAZ,COBAN,instituto privado mixto santo domingo,2a calle 11-10 zona 2,79529830,Mercedes Josefina Torres Galvez,America Nuila Luther,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,SABATINO,ALTA VERAPAZ
16-01-1177-46,16-006,ALTA VERAPAZ,COBAN,instituto privado mixto santo domingo,2a calle 11-10 zona 2,77231494,Efrain Caal Cuc,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,SABATINO,ALTA VERAPAZ
16-01-1259-46,16-006,ALTA VERAPAZ,COBAN,instituto de turismo y aviacion del norte itan,3a avenida 5-28 zona 4,58633599,Efrain Caal Cuc,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-1312-46,16-031,ALTA VERAPAZ,COBAN,colegio privado mixto tecnologico en informatica,2a calle 12-23 zona 4,79511459,Mercedes Josefina Torres Galvez,Daniel Bernardo Ramirez Gonzalez,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,FIN DE SEMANA,ALTA VERAPAZ
16-01-1313-46,16-006,ALTA VERAPAZ,COBAN,colegio privado mixto tecnologico en informatica,2a calle 12-23 zona 4,79511459,Efrain Caal Cuc,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-1390-46,16-031,ALTA VERAPAZ,COBAN,liceo miguel angel asturias,7a calle 1-13 zona 3,79511103,Mercedes Josefina Torres Galvez,Jayron Ariel Coy Cacao,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,ALTA VERAPAZ
16-01-1393-46,16-031,ALTA VERAPAZ,COBAN,liceo preuniversitario del norte,2a calle 6-41 zona 4,79417346,Mercedes Josefina Torres Galvez,Alfredo Rodrigo Paau Vasquez,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,FIN DE SEMANA,ALTA VERAPAZ
16-01-1394-46,16-031,ALTA VERAPAZ,COBAN,instituto privado mixto monja blanca,diagonal 3 14-11 zona 2,79513896,Mercedes Josefina Torres Galvez,Edwin Armando Catun Caal,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-1401-46,16-006,ALTA VERAPAZ,COBAN,cooperacion mesoamericana para el desarrollo y la paz comadep,coban,52182313,Efrain Caal Cuc, ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ
16-01-1468-46,16-031,ALTA VERAPAZ,COBAN,colegio nuestra senora de la esperanza,colonia el esfuerzo i zona 12,79510207,Mercedes Josefina Torres Galvez,,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-1469-46,16-031,ALTA VERAPAZ,COBAN,colegio privado mixto tecnologico en informatica,2a calle 12-23 zona 4,79511459,Mercedes Josefina Torres Galvez,Daniel Bernardo Ramirez Gonzalez,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-1491-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,barrio la libertad zona 10,79511439,Mercedes Josefina Torres Galvez,Charlim Hamilton Caal Hernandez,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-2156-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto imperial,5a calle 1-98 zona 3,57101061,Mercedes Josefina Torres Galvez,Hector Waldemar Tot Coy,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-2171-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto nuevos horizontes,6a avenida 2-15 zona 4,,Mercedes Josefina Torres Galvez,Fredy Emilio Vasquez Morales,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,ALTA VERAPAZ
16-01-2302-46,16-031,ALTA VERAPAZ,COBAN,instituto privado mixto monja blanca,diagonal 3 14-11 zona 2,79513896,Mercedes Josefina Torres Galvez,Edwin Armando Catun Caal,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,ALTA VERAPAZ
