Group,Address
40,"DIAGONAL 3 14-11, ZONA 2"
40,"DIAGONAL 3, 14-11 ZONA 2"
41,"3A. AVENIDA 8-32, ZONA 10"
41,"3A. AVENIDA 4-35, ZONA 1"
41,"4A. AVENIDA 8-03, ZONA 1"
41,"3A. AVENIDA 5-36, ZONA 1"
42,"9A. AVENIDA 4-55, ZONA 4"
42,"9A. AVENIDA 0-55, ZONA 2"
42,"9A. AVENIDA 4-56, ZONA 2"
43,2A. CALLE 1-99 ZONA 4 COBAN
44,8A. AVENIDA 02-43 ZONA 1
44,8A. AVENIDA 2-39 ZONA 1
45,"2A. CALLE 8-18 ZONA 4, COBAN"
46,BARRIO CHIVENCORRAL ZONA 12
47,6A. CALLE 2-06 ZONA 8 PERIFERICO SUR COBAN
48,COBAN
49,COLONIA EL ESFUERZO I ZONA 12
50,BARRIO LA LIBERTAD ZONA 10
51,"6A. AVENIDA 1-15, ZONA 4"
51,"2A. AVENIDA 1-115, ZONA 3"
51,6A. AVENIDA 2-15 ZONA 4
51,6A. AVENIDA 1-15 ZONA 1
52,3AVENIDA 6-23 ZONA 11
53,3A. AVENIDA 8-32 BARRIO LA LIBERTAD ZONA 10
54,3AV. 1-23 ZONA 4
55,nan
56,6A. CALLE 8-10 ZONA 10 CERRITO EL CARACOL COBÁN
57,FINCA SAN JOSE LA COLONIA
58,3A. CALLE 7-07 ZONA 3
58,3A. CALLE 7-54 ZONA 3
58,3A. CALLE 7-75 ZONA 1
58,3A. CALLE 7-70 ZONA 1
58,3A. CALLE 7-71 ZONA 1
59,KM.209.5 ENTRADA A COBAN
60,2A. CALLE 4-61 ZONA 4
60,2A. CALLE 4-70 ZONA 4
60,2A. CALLE 5-16 ZONA 4
60,2A. CALLE 4-05 ZONA 4
61,1A. AVENIDA 5-52 ZONA 2
61,1A. AVENIDA 4-52 ZONA 4
61,1A. AVENIDA 3-56 ZONA 2
61,1A. AVENIDA 5-75 ZONA 1
62,6TA. AVENIDA 1-27 ZONA 4
62,4TA. AVENIDA 15-20 ZONA 4
63,BARRIO SANTA ELENA
64,"CALLE 3 DE MAYO 2-67 ZONA 2, BARRIO SANTO TOMAS"
64,"CALLE 3 DE MAYO 2-67, BARRIO SANTO TOMAS"
65,"CALLE 3 DE MAYO 2-70, ZONA 1"
65,CALLE 3 DE MAYO 2-33 ZONA 1
65,"CALLE 3 DE MAYO 2-33, ZONA 1"
66,BARRIO CHIYUC
67,"5A. CALLE 4-18 ZONA 1, BARRIO SANTA ANA, SAN CRISTÓBAL VERAPAZ"
68,"2A. CALLE ZONA 4, BARRIO SAN FELIPE"
68,"2A. CALLE 4-45 ZONA 4, BARRIO SAN FELIPE"
69,3A. CALLE 0-43 ZONA 3 BARRIO SAN SEBASTIAN
69,"3A. CALLE 0-43 ZONA 3, BARRIO SAN SEBASTIÁN"
69,"3A. CALLE 0-43 ZONA 3, BARRIO SAN SEBASTIAN"
70,CASERÍO PANTOCAN
71,"2A. CALLE, 2A. AVENIDA ZONA 3, BARRIO SAN SEBASTIAN"
71,"2A. CALLE 2A. AVENIDA ZONA 3, BARRIO SAN SEBASTIAN"
72,"4ª. AVENIDA, ENTRE O Y 1 CALLE ZONA 4, BARRIO SAN FELIPE"
72,"4A. AVENIDA, ENTRE 0 Y 1 CALLE ZONA 4, BARRIO SAN FELIPE"
73,"4A. CALLE A 2-17, ENCLAVADO ZONA 2, COLONIA PANÁ"
74,COLONIA PANTOCÁN
75,"5A. CALLE 4-18 ZONA 1, BARRIO SANTA ANA"
76,CASERÍO CHILLEY
77,8A. AVENIDA 6-00 ZONA 1
77,8A. AVENIDA 4-40 ZONA 1
77,8A. AVENIDA 6-12 ZONA 1
77,3A. AVENIDA 6-20 ZONA 1
77,4A. AVENIDA 6-40 ZONA 1
77,5A. AVENIDA 0-00 ZONA 1
77,2A. AVENIDA 3-00 ZONA 1
77,8A. AVENIDA 9-00 ZONA 1
78,1A. AVENIDA 3-62 ZONA 4 BARRIO SAN FELIPE
79,0 AVENIDA 1-71 ZONA 5 BARRIO SAN CRISTOBAL
80,0 CALLE B OC-150 ZONA 4
80,"0 CALLE B OC-150, ZONA 4"
81,5A. AVENIDA 2-35 ZONA 1
81,1A. AVENIDA 3-35 ZONA 1
81,5A. AVENIDA 4-65 ZONA 1
81,4A. AVENIDA 2-39 ZONA 1
81,5TA. AVENIDA 2-59 ZONA 1
81,5A. AVENIDA 2-24 ZONA 1
81,2A. AVENIDA 9-35 ZONA 1
81,5A. AVENIDA 4-13 ZONA 1
81,5A. AVENIDA 7-55 ZONA 1
81,2A. AVENIDA 2-55 ZONA 1
81,5A. AVENIDA 1-95 ZONA 1
81,5A. AVENIDA 2-56 ZONA 1
82,"CANTON CHIJACORRAL, ZONA 7"
83,"4A. CALLE 09-103, ZONA 1"
84,CANTON CHIJACORRAL
85,"0 CALLE ""C"" 4-29 ZONA 4, BARRIO CHAMCHÉ"
85,"O CALLE ""C"" 4-29 ZONA 4, BARRIO CHAMCHE"
86,"1A. AVENIDA 6-73 ZONA 7, CANTÓN CHIJACORRAL"
87,"12 AV. A  4-30, ZONA 3, BARRIO ASUNCION"
88,12 AVENIDA  A  4-30 ZONA 3
89,"2A. AVE. 02-053 ZONA 2, BARRIO SAN JACINTO"
90,"12A. AVENIDA ""A"" 4-30 ZONA 2, BARRIO ASUNCION"
91,4A. AVENIDA 0 CALLE -176 ZONA 4
92,BARRIO ASUNCION
93,"O CALLE  B  OC-150, ZONA 4."
94,0 CALLE B OC 150 ZONA 4 DE LA VILLA DE TACTIC
95,12 AV. 4-30 ZONA 3
95,12 AV.  A  4-30 ZONA 3
96,BARRIO LA ASUNCION DE LA VILLA DE TACTIC
97,TAMAHU
98,BARRIO CENTRO
98,BARRIO EL CENTRO
99,LOTE NO. 42 CASERÍO NUEVA ESPERANZA
99,"LOTE NO. 42, CASERIO NUEVA ESPERANZA"
100,CASERÍO NUEVA ESPERANZA
101,CANTON LA PLAYA
102,BARRIO SAN JUAN
102,BARRIIO SAN JUAN
103,"BARRIO EL CENTRO, ALDEA TELEMÁN"
104,BARRIO SAN SEBASTIAN
104,BARRIO SAN SEBASTIÁN
104,BARRIO SAN  SEBASTIÁN
105,"INSTALACIONES QUE OCUPA EL INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA DE ENSEÑANZA, ALDEA TELEMAN"
105,"INSTALACIONES DEL INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA, ALDEA TELEMAN"
106,ALDEA TELEMAN
107,"BARRIO LA ESCUELA, TELEMAN"
107,"BARRIO LA ESCUELA, ALDEA TELEMAN"
108,ALDEA CAHABONCITO
109,BARRIO EL MAU
110,COLONIA 30 DE MAYO
111,BARRIO SAN ANTONIO
112,COMUNIDAD LA MONTAÑESA
113,COOPERATIVA CHIREAJ
114,COOPERATIVA SANTA MARIA SAN MARCOS
115,COOPERATIVA ACTELA
116,ALDEA YALIJUX
117,COOPERATIVA SEMARAC I
118,SENAHÚ
119,BARRIO LA PROVIDENCIA
120,BARRIO LA VEGA
121,8A. CALLE 4-47 ZONA 4
121,"8A. CALLE 4-47, ZONA 4"
121,8A. CALLE 0-71 ZONA 4
121,7A. CALLE 4-47 ZONA 1
122,ALDEA CAMPUR
123,"3A. CALLE ""A"" 3-68 ZONA 4, BARRIO BELLA VISTA"
124,5A CALLE FINAL ZONA 1
124,4TA. CALLE FINAL ZONA 1
124,4A. CALLE FINAL ZONA 1
125,DIAGONAL 2 10-73 ZONA 2 BARRIO SAN PABLO
125,"DIAGONAL 2 10-73 ZONA 2, BARRIO SAN PABLO"
126,8A. AVENIDA 4-47
127,"DIAGONAL 2 10-73, ZONA 2"
128,ALDEA CAQUIGUAL
129,ALDEA CHIQUIXJI
130,ALDEA SACRAB
131,"2A. CALLE 3-24 ZONA 7, COLONIA SANTO DOMINGO"
131,"2A. CALLE 3-24 ZONA7, COLONIA SANTO DOMINGO"
132,"RESIDENCIALES RAXPEC, SECTOR CHAJUCH LOTE NÚMERO 17"
133,ALDEA COJAJ
134,ALDEA CHACALTE
134,ALDEA CHACTE
135,ALDEA XICACAO
136,"COLONIA CHIBUJBU, 2A. CALLE FINAL ZONA 5"
137,SAN PEDRO CARCHA
138,5A. CALLE 7-86 ZONA 1
138,5A. CALLE 7-76 ZONA 1
138,5A. CALLE 3-08 ZONA 1
138,5A. CALLE 7-23 ZONA 1
138,5A. CALLE 7-52 ZONA 1
138,5A. CALLE 7-41 ZONA 1
138,5A. CALLE 3-62 ZONA 1
138,"5A. CALLE 7-62, ZONA 1"
138,5A. CALLE 6-80 ZONA 1
138,5A. CALLE 7-28 ZONA 2
138,5A. CALLE 3-28 ZONA 1
138,5A. CALLE 5-65 ZONA 1
138,5A. CALLE 2-66 ZONA 1
139,"6TA. CALLE 3ERA. AVENIDA, ZONA 2"
140,"6A. CALLE 1-78 ZONA 4, BARRIO BELLA VISTA, SECTOR II"
141,ALDEA SEJALAL
142,ALDEA TANCHI
143,ALDEA POCOLA
144,ALDEA CHICOJL
145,ALDEA CHIYO
146,ALDEA TZACANIHA
147,"1A. CALLE 2-50, ZONA 8"
147,"2A. CALLE 2-50, ZONA 1"
148,FINCA MUNICIPAL CHIPAR
149,3A. CALLE 4-55 ZONA 5
149,3A. CALLE 6-45 ZONA 5
149,7A. CALLE 4-55 ZONA 1
150,KILOMETRO 218.5 SEDE REGIONAL UNIVERSIDAD RAFAEL LANDIVAR
151,BARRIO SAN LUIS
152,1A CALLE 0-07 ZONA 1
152,11A. CALLE 0-07 ZONA 2
152,11 CALLE 0-07 ZONA 2
153,"0 CALLE 5-98, ZONA 4"
154,0 AVENIDA 1A. CALLE NO. 002 ZONA 4 BARRIO SANTO DOMINGO
154,0 AVENIDA 1A CALLE NO. 002 ZONA 4 BARRIO SANTO DOMINGO
155,"2A. AVENIDA 7-66 ZONA DOS, BARRIO SANTA ANA ORIENTAL"
156,BARRIO RESURRECCIÓN
157,1ERA. CALLE 0-02 ZONA 4
157,1ERA. CALLE 0-24 ZONA 2
158,ALDEA CHAMIL
159,ALDEA SAQUIJA
160,BARRIO SAN NICOLAS
161,COLONIA BELEN
161,COLONIA BELÉN
162,CABECERA
163,BARRIO SAN PABLO
164,BARRIO SAN PEDRO
164,BARRIO SAN PEDRITO
165,ALDEA PINARES
166,SANTA MARIA CAHABON
167,ALDEA SEPOC
168,"1A. CALLE Y 2A. AVENIDA LOTE 204, BARRIO EL CENTRO"
169,ALDEA CHIQUIBUL
170,PARCELA NO. 1 COMUNIDAD SAN SIMON NO. II
171,BARRIO LA FLORIDA
172,ALDEA SAMOCOCH
173,COMUNIDAD SAN SIMON II
174,CHISEC
175,LOTES 682-678 1A. CALLE 10AV. ZONA 1 BARRIO NAZARETH 03/11/2017
176,BARRIO SANTO DOMINGO
177,BARRIO SANTA MARIA
177,BARRIO SANTA MARÍA
178,CASERÍO SANTA MARÍA CHICOC
179,BARRIO EL CENTRO SAN FERNANDO
180,ALDEA SAN AGUSTIN CHAHAL VIEJO
181,CALLE DEL CAMPO LOTE 287 BARRIO EL CENTRO
181,"CALLE DEL CAMPO LOTE 287, BARRIO EL CENTRO"
182,ALDEA BOLONCO
182,ALDEA BOLONCÓ
183,CASCO URBANO
184,CALLE PRINCIPAL 5-81 ZONA 1
184,CALLE PRINCIPAL ZONA 1
185,CALLE PRINCIPAL DEL BARRIO EL CENTRO
186,1RA. CALLE 13-18 ZONA 2
186,2A. CALLE 3-18 ZONA 2
186,"1A. CALLE 13-41, ZONA 2"
186,1A. CALLE 13-41 ZONA 2
187,ANTIGUA CASA CAMPESINA INTA ZONA 2
188,"ZONA 0, CALZADA ISRAEL 1"
189,BARRIO EL MAGISTERIO
189,BARRIO MAGISTERIO
190,1A. CALLE 13-18 ZONA 2 FRAY BARTOLOME DE LAS CASAS
191,"BARRIO PEÑA BLANCA, ZONA 6"
191,BARRIO PEÑA BLANCA ZONA 6
192,"BARRIO EL CALVARIO, ZONA 5"
193,ALDEA JOLOMIJIXITO III
194,"ZONA 8, BARRIO EL RECREO"
195,SANTA CATALINA LA TINTA
196,BARRIO CAMPO NUEVO ZONA 2
196,"BARRIO CAMPO NUEVO, ZONA 2"
197,BARRIO CAMPO NUEVO
198,"BARRIO EL HOSPITAL, ZONA 1"
199,BARRIO EL CRUCERO
200,BARRIO EL CENTRO ZONA 1
201,BARRIO CONCEPCION
202,ALDEA SAN JOSE EL TESORO
203,RAXRUHÁ
204,13 AVENIDA 7-41 ZONA 2 BARRIO HACIENDA DE LA VIRGEN
204,"13 AVENIDA 7-41, ZONA 2, BARRIO HACIENDA DE LA VIRGEN"
205,"DIAGONAL 4, 1-24 ZONA 2"
205,"DIAGONAL 4, 1-24, ZONA 2"
206,9A. AVENIDA 6-67 ZONA 1
206,1A. AVENIDA 6-57 ZONA 1
206,4A. AVENIDA 6-76 ZONA 1
206,5A. AVENIDA 6-61 ZONA 1
206,9A AVENIDA A-7 ZONA 1
207,"RUTA 4, ZONA 5, DEL BARRIO SANTA ELENA"
207,"RUTA 4, ZONA 5, BARRIO SANTA ELENA"
208,"RUTA 4, 12-68 ZONA 5, BARRIO SANTA ELENA"
208,RUTA 4 12-68 ZONA 5 BARRIO SANTA ELENA
208,"RUTA 4 12-68, ZONA 5, BARRIO SANTA ELENA"
209,ALDEA CHILASCÓ
210,1A. CALLE 1-105 ZONA 3
210,1A. CALLE 9-120 ZONA 3
210,1A. CALLE 1-1 ZONA 4
211,ALDEA EL TEMPISQUE
212,"2A. CALLE, ZONA 1"
213,11 AVENIDA 1-99 ZONA 6
213,"11AVENIDA 1-99, ZONA 6"
214,"5A. AVENIDA 6-31, ZONA 1"
214,"5TA. AVENIDA 6-13, ZONA 3"
214,"5A. AVENIDA 7-112, ZONA 1"
214,5A. AVENIDA 6-91 ZONA 1
214,"7A. AVENIDA 6-31, ZONA 3"
215,"BARRIO EL CALVARIO, SECTOR LAS TEJERAS"
216,"5A. AVENIDA 4-74, ZONA 1 BARRIO CENTRO"
217,SALAMA
218,"2DA AVENIDA 6-89 ZONA 1, INTERIOR VILLA DEPORTIVA"
219,5AV. 6-31 ZONA 1
220,DIAGONAL 4 12-48 ZONA 5
221,BARRIO AGUA CALIENTE
222,ALDEA SAN GABRIEL PANTZUJ
223,CANTON SAN JUAN
223,CANTÓN SAN JUAN
224,CANTÓN LA CRUZ
225,ALDEA SAN FRANCISCO
226,CASERÍO CHUPEL
227,ALDEA SAN GABRIEL
228,ALDEA CHICHOLÓN
229,ALDEA SAN RAFAEL
230,ALDEA EL PROGRESO
231,ALDEA SANTO DOMINGO SANTA RITA
232,2A. CALLE Y 4A. AVENIDA ZONA 3 FRENTE AL CAMPO DE AVIACIÓN
233,4A. AVENIDA ENTRE 3A. Y 4A. CALLE ZONA 2
233,2DA. AVENIDA ENTRE 3RA. Y 4TA. CALLE ZONA 2
233,9A. AVENIDA ENTRE 4A. Y 5A. CALLE ZONA 2
234,"CASERÍO CORROLABAJ, ALDEA CHITICOY"
235,ALDEA PACHALUM
236,ALDEA CONCUL
237,"CASERÍO PLAN DE SANCHEZ, ALDEA RAXJUT"
238,3A. AVENIDA 1-55 ZONA 3
238,3A. AVENIDA 3-65 ZONA 3
238,1A. AVENIDA 1-85 ZONA 3
238,7A. AVENIDA 7-55 ZONA 3
238,3A. AVENIDA 1-44 ZONA 3
238,3A. AVENIDA 1-30 ZONA 3
238,2A. AVENIDA 1-45 ZONA 3
238,2A. AVENIDA 2-55 ZONA 3
239,"4TA. AVENIDA 1-83, ZONA 2"
239,4A. AVENIDA 1-83 ZONA 2
239,"4A. AVENIDA 1-30, ZONA 1"
239,"4A. AVENIDA 3-43, ZONA 2"
240,"1A. CALLE 7-17, ZONA 2"
240,1A. CALLE 7-17 ZONA 2
240,1RA. CALLE 7-16 ZONA 2
240,"1A. CALLE 7-77, ZONA 8"
241,"3A. CALLE 5-41, ZONA 2"
242,3 CALLE 2-87 ZONA 2
242,3ERA. CALLE 2-87 ZONA 2
243,"2A. CALLE Y 5A. AVENIDA , ZONA 4"
243,1A. CALLE Y 1A. AVENIDA ZONA 4
244,2DA. CALLE 2-15 ZONA 1
244,2A. CALLE 2-120 ZONA 1
244,2DA. CALLE 2-10 ZONA 3
244,2A. CALLE 2-50 ZONA 1
244,2DA. CALLE 2-85 ZONA 3
244,2DA. CALLE 2-80 ZONA 1
244,2DA. CALLE 1-12 ZONA 1
245,BARRIO MAGDALENA
246,CASERÍO CHIRUJ
247,ALDEA PACHOJOP
248,CABECERA MUNICIPAL
248,CABECERA MUNICIAL
248,CABECERA  MUNICIPAL
249,GRANADOS
250,ALDEA SALTÁN
251,ALDEA POTRERO GRANDE
252,EL CHOL
253,SANTA CRUZ EL CHOL
254,BARRIO ABAJO
255,"CASERÍO PLANES Y BODEGAS, ALDEA EL JÍCARO"
256,KILÓMETRO 144 RN-17 ALDEA SIBABAJ
257,"BARRIO ABAJO, CALLE LA ASUNCIÓN"
258,BARRIO EL CEMENTERIO
259,BARRIO EL CARPINTERO
260,BARRIO LA CRUZ
261,ALDEA SAN MARCOS SACSAMANÍ
262,CASERÍO NUEVO PROGRESO PANCHISIVIC
263,FINCA LA ALAMEDA
263,FINCA ALAMEDA
264,2A. CALLE 5-52 ZONA 4
264,2A. CALLE 5-82 ZONA 1
264,2A. CALLE 7-52 ZONA 1
265,4A. AVENIDA 2-95 ZONA 3
266,6A. AVENIDA 3-48 ZONA 5
266,6TA AVENIDA 3-48 ZONA 5
266,"6A. AVENIDA 3-48, ZONA 5"
266,6A. AVENIDA 3-40 ZONA 1
267,1A CALLE 7-160 ZONA 4
268,3 CALLE 7-54 ZONA 3
268,3ERA. CALLE 7-54 ZONA 3
269,"9A. CALLE DE LOS CLAVELES 3-76 ZONA 1, QUINTAS LOS APOSENTOS"
270,8A. CALLE Y 6A. AVENIDA 5-20 ZONA 1 QUINTAS LOS APOSENTOS
271,1A. CALLE 9-30 ZONA 3
271,1A CALLE 9-30 ZONA 3
271,1A. CALLE 9-307 ZONA 4
271,1A. CALLE 4-30 ZONA 3
271,4A. CALLE 9-30 ZONA 1
272,"6A. AVENIDA ""A"" 2A-37, ZONA 2 COLONIA SANTA TERESITA"
273,"INTERIOR DE LA ESCUELA NORMAL RURAL ""PEDRO MOLINA"", LA ALAMEDA"
274,3A. CALLE 6-125 ZONA 4
275,"MANZANA L, LOTE 31 Y 32, COLONIA SANTA TERESITA, ZONA 2"
276,8A. AVENIDA 3-59 ZONA 2
276,2A. AVENIDA 3-35 ZONA 2
277,2A. CALLE 2-45 ZONA 4
277,2A. CALLE 2-44 ZONA 1
277,2A. CALLE 2-35 ZONA 2
277,2A. CALLE 2-43 ZONA 1
277,2A. CALLE 2-85 ZONA 3
278,"1A. CALLE PASAJE 6-106 CASA ""I"", ALDEA BUENA VISTA, ZONA 8"
279,"PARCELA 37A, LA ALAMEDA"
280,4A. AVENIDA 5-80 ZONA 2
280,4A. AVENIDA 4-40 ZONA 2
281,3A. AVENIDA 1-64 ZONA 2
281,3RA AVENIDA 1-64 ZONA 2
281,2A. AVENIDA 1-48 ZONA 2
281,3A. AVENIDA 7-69 ZONA 2
281,2A. AVENIDA 1-34 ZONA 2
281,3A. AVENIDA 1-40 ZONA 2
282,"6A. CALLE 3-09 ZONA 1, QUINTAS LOS APOSENTOS I"
282,6A. CALLE 4-70 ZONA 1 QUINTAS LOS APOSENTOS
283,2A. CALLE 1-73 ZONA 2
283,2A. CALLE 1-55 ZONA 2
283,2A. CALLE 1-34 ZONA 1
283,3A. CALLE 1-30 ZONA 2
283,3A. CALLE 1-36 ZONA 2
283,6A. CALLE 1-33 ZONA 2
283,2A. CALLE 1-27 ZONA 2
283,2A. CALLE 12-35 ZONA 2
284,"3A. AVENIDA DE LAS FLORES 7-62 QUINTAS LOS APOSENTOS 1, ZONA 1"
285,5A. CALLE 3-60 ZONA 3
285,2A. CALLE 3-40 ZONA 3
285,6A. CALLE 1-60 ZONA 3
285,5A CALLE 12-60 ZONA 3
286,6A. AVENIDA 8-94 ZONA 1
286,"6A. AVENIDA 8-94, ZONA 1"
286,6A. AVENIDA 6-99 ZONA 1
286,6A. AVENIDA 6-54 ZONA 1
286,6A. AVENIDA 4-34 ZONA 1
286,6TA. AVENIDA 8-43 ZONA 1
286,7A. AVENIDA 8-96 ZONA 1
287,"2A. CALLE 3A-91 ZONA 7, ALDEA BUENA VISTA"
287,"2DA.. CALLE 3A-91 ZONA 7, ALDEA BUENA VISTA"
288,"DIAGONAL 5, 13-142 ZONA 5, LA ALAMEDA"
289,ALDEA BOLA DE ORO
290,1A. AVENIDA 1-251 LA ALAMEDA ZONA 9
291,1A. CALLE 14-274 ALDEA SANTA ISABEL ZONA 6
292,3A. AVENIDA 2-143 ZONA 7 BUENA VISTA NORTE
293,"CASERÍO MONTE CRISTO, ALDEA SAN MARCOS PACOC"
294,8A. AVENIDA 1-63 ZONA 6 COLONIA LOS ANONALES
295,"DIAGONAL 6, 6-32 COLONIA LA ESPERANZA ZONA 6"
296,KM. 2.5 CARRETERA A SAN MARTIN JILOTEPEQUE
296,KM. 2.5 CARRETERA A SAN MARTÍN JILOTEPEQUE
297,5A. AVENIDA 1-45 ZONA 4
297,2A. AVENIDA 2-45 ZONA 4
297,5A. AVENIDA 1-25 ZONA 8
298,1A. CALLE 5-78 ZONA 3
298,1A. CALLE 2-78 ZONA 4
298,2A. CALLE 5-98 ZONA 3
299,"15 AVENIDA1-30 LA PEDRERA, ALDEA BUENA VISTA, ZONA 8 03/"
300,1A. CALLE 14-724 ZONA 6
301,"1RA CALLE PASAJE 6-106 CASA ""I"", BUENA VISTA SUR, ZONA 8"
302,"2A. CALLE 3-68, ZONA 1"
302,2DA. CALLE 3-28 ZONA 1
302,2DA. CALLE 3-38 ZONA 1
302,"2DA. CALLE 3-28, ZONA 1"
302,"2DA.CALLE 3-28, ZONA 1"
302,"2A. CALLE 3-18, ZONA 2"
302,2A. CALLE 3-16 ZONA 1
302,"2A. CALLE 3-72, ZONA 1"
303,6A. AVENIDA Y 1A. CALLE NO. 126 ZONA 5
303,"6A. AVENIDA  Y  1A. CALLE, NO. 126 ZONA 5"
304,6A. AVENIDA 2-17 ZONA 4
304,1A. AVENIDA 3-17 ZONA 4
304,4A. AVENIDA 20-174 ZONA 4
304,1A. AVENIDA 2-17 ZONA 1
304,6A. AVENIDA 2-21 ZONA 1
305,"1A. CALLE 11-43, ALDEA BUENA VISTA, ZONA 8"
306,2A. AVENIDA A 6-38 ZONA 1 QUINTAS LOS APOSENTOS.
307,6A. CALLE Y 1A. AVENIDA 0-53 ZONA 3
308,"15 AVENIDA 1-30 LA PEDRERA, ZONA 8"
309,"3a. CALLE 6-108 ZONA 1, COLONIA LAS MAJADAS"
310,2 CALLE 5-40 ZONA 4
311,4A. AVE. 5-80 ZONA 2
312,KM. 58 CARRETERA INTERAMERICANA (INTERIOR 100 METROS)
313,1A. CALLE 6-09 ZONA 4
313,1A. CALLE 2-39 ZONA 4
313,1A. CALLE 1-09 ZONA 4
313,3A. CALLE 6-49 ZONA 4
313,1A. CALLE 4-05 ZONA 4
314,KM. 52.5 ATRAS COLONIA QUINTAS LAS VICTORIAS
315,"6A. CALLE 4-54 ZONA 1, COLONIA LOS APOSENTOS I"
316,CHIMALTENANGO
317,"DIAGONAL 1, 7-131 ZONA 8, ALDEA BUENA VISTA"
318,"LOTE NO. 87, ZONA 1, RESIDENCIALES ""QUINTAS LOS APOSENTOS"" AVENIDA LOS APOSENTOS Y 8A. CALLE"
319,KM. 2.5 CARRETERA A SAN MARTIN JILOTEPEQUE ALDEA SANTA ISABEL
320,6AV. 2-17 ZONA 4
320,6AV 2-17 ZONA 4
320,16AV. 2-17 ZONA 1
321,"3A. CALLE 3-13 ZONA 3, COLONIA SAN JOSE LAS FLORES"
322,2A. AVENIDA 12A-84 LA ALAMEDA ZONA 1
323,"3A. CALLE 6-336 ZONA 1, LAS MAJADAS"
324,"CALLE PRINCIPAL, ZONA 2"
325,"CASERÍO CENTRO, ALDEA HACIENDA MARÍA"
325,CASERIO CENTRO ALDEA HACIENDA MARIA
326,ALDEA OJER CAIBAL
327,"1A. AVENIDA 1-80, ZONA 3"
327,1A. AVENIDA 1-80 ZONA 3
